xrow,xcol,sample name,date,abs_590
B,x1,1.1,20230404,0.078
A,x1,1.1,20230404,0.082
C,x1,1.2,20230404,0.116
D,x1,1.2,20230404,0.126
A,x2,2.1,20230404,0.079
B,x2,2.1,20230404,0.09
C,x2,2.2,20230404,0.121
D,x2,2.2,20230404,0.133
B,x3,3.1,20230404,0.094
A,x3,3.1,20230404,0.127
D,x3,3.2,20230404,0.144
C,x3,3.2,20230404,0.161
B,x4,4.1,20230404,0.102
A,x4,4.1,20230404,0.125
C,x4,4.2,20230404,0.133
D,x4,4.2,20230404,0.162
B,x5,5.1,20230404,0.107
A,x5,5.1,20230404,0.145
C,x5,5.2,20230404,0.164
D,x5,5.2,20230404,0.172